station_code,station_name,state,zone,address,latitude,longitude
KFP,Kukra Khapa,Madhya Pradesh,SECR,"State Highway 19, Madhya Pradesh",21.825569,78.897525
KALD,Kalanad,Kerala,SR,"Kizur Rd, Kerala",,
KALN,Kalana,Rajasthan,NWR,"MDR 18, Rajasthan",,
KAPM,Kottapalem,Andhra Pradesh,ECoR,"Vishakhapatnam, Andhra Pradesh",,
KBGN,Khubagaon,Maharashtra,CR,"Khubagaon, Maharashtra",,
JKHI,Jakhod Khera,Haryana,NWR,"Jakhodlkhera, Haryana",29.209394,75.57373
KCO,Kachhia Bridge,Uttar Pradesh,NER,"State Highway 33, Uttar Pradesh",27.944171,78.863805
KAVI,Kavi,Gujarat,WR,"Bharuch, Gujarat",22.47229104660886,88.39808402583003
JNK,Jhinkpani,Jharkhand,SER,"Jorapokhar, Jharkhand",22.4200106276,85.77066197879999
KAI,KAIRLA,Rajasthan,NWR,"Pali, Rajasthan",25.8474354519,73.1955095032
KCY,Kaichar,West Bengal,ER,"Kaichar, West Bengal",,
KDRA,Kadampura,Bihar,ECR,"Kadampura, Bihar",,
JOH,Juharpura,Rajasthan,NWR,"State Highway 69, Rajasthan",28.199319000000003,74.84733
VI,Villianur,Puducherry,SR,"NH 45A, Puducherry",11.919269000000002,79.757506
JKS,Jaksi,Gujarat,WR,"State HIghway 138, Gujarat",23.222302523099998,72.1076480029
KBGH,Karea Kadambagachhi,West Bengal,ER,"State Highway 2, West Bengal",22.705299,88.534887
JRL,Jharili,Haryana,NWR,"Jhajjar, Haryana",28.50653,76.374648
JHWR,Jhawar,Punjab,NR,"National Highway 15, Punjab",32.002349,75.377777
KAJ,Kaliyaganj,West Bengal,NFR,"RaiGanj, West Bengal",25.6393,88.330404
KBE,KUREBHAR,Uttar Pradesh,NR,"MDR 66E, Uttar Pradesh",26.409469,82.111598
KGM,KATHGODAM,Uttarakhand,NER,"Kathgodam, Uttarakhand",29.266583,79.54633
KDGI,KUDGI,Karnataka,SWR,"NH 13, Karnataka",16.530215,75.811482
KHHJ,Khatkar Kalan,Punjab,NR,"Nawan Shahar, Punjab",31.166967,76.02555000000001
KDLG,KUNDALGARH,Rajasthan,NWR,"Dungarpur, Rajasthan",24.02828,73.81051
KCF,KALCHINI,West Bengal,NFR,"NH 31C, West Bengal",26.687507,89.447487
JVA,JAVALE,Maharashtra,CR,"State Highway 71, Maharashtra",17.298963,75.157805
JUA,JARAUNA,Uttar Pradesh,NR,"Alamganj, Uttar Pradesh",25.557129999999997,82.399136
JSP,JAYASINGPUR,Maharashtra,CR,"Jaysingpur, Maharashtra",16.791339,74.551613
KBI,KAMBRGANVI,Karnataka,SWR,"State Highway 34, Karnataka",15.459597,74.875061
KDMR,KODIYAR MANDIR,Gujarat,WR,"SH 21, Gujarat",21.739200999999998,72.00460199999999
KIQ,Khai Phemeki,Punjab,NR,"State Highway 20, Punjab",30.901616999999998,74.55121799999999
JWP,JWALAPUR,Uttarakhand,NR,"Jwalapur, Uttarakhand",29.928457,78.120775
KBR,KABRAI,Uttar Pradesh,NCR,"National Highway 76, Uttar Pradesh",25.385191218099997,80.0382402954
KCR,KHONKER,Madhya Pradesh,WCR,"Shivpuri, Madhya Pradesh",25.316453,77.578988
KGW,KARIGANURU,Karnataka,SWR,"Bellary, Karnataka",15.251727,76.43343
KBL,KOPPAL,Karnataka,SWR,"Koppal, Karnataka",15.353868,76.14395900000001
KGI,KENGERI,Karnataka,SWR,"Bengaluru, Karnataka",12.918047,77.48431
KBU,KASU BEGU,Punjab,NR,"Kasu Begu, Punjab",30.856795,74.671641
KGX,KANGINHAL,Karnataka,SWR,"Gadag, Karnataka",15.447816999999999,75.719041
KHAR,KHAR,Maharashtra,WR,"Mumbai, Maharashtra",19.069166,72.840078
KILE,KANDIVLI,Maharashtra,WR,"Mumbai, Maharashtra",19.204551,72.852098
JTY,JETHI,Gujarat,NWR,"BANASKANTHA, Gujarat",24.291967,72.507154
KIE,Khiria Khurd,Uttar Pradesh,NER,"Shahbaznagar, Uttar Pradesh",,
KKGT,Kalkalighat,Assam,NFR,"National Highway 44, Assam",24.5804202061,92.2952717633
BOMN,Bommagundanakere,Karnataka,SWR,"Bellary-Hiriyur Rd, Karnataka",14.591669999999999,76.68023
KAY,Karaimadai,Tamil Nadu,SR,"Karamadai, Tamil Nadu",11.238610999999999,76.957617
